College_Name,Debt,Status
VanderCook College of Music,"$42,886 ",Small Private
Ouachita Baptist University,"$28,406 ",Small Private
University of the Sciences,"$46,210 ",Small Private
Crossroads Bible College,"$37,497 ",Small Private
College of Our Lady of the Elms,"$38,539 ",Small Private
Trinity Christian College,"$29,978 ",Small Private
Illinois College,"$32,740 ",Small Private
La Roche College,"$27,298 ",Small Private
Nichols College,"$34,873 ",Small Private
Graceland University-Lamoni,"$32,120 ",Small Private
Wayland Baptist University,"$29,555 ",Small Private
Caldwell University,"$25,114 ",Small Private
Loras College,"$34,156 ",Small Private
Johnson C Smith University,"$35,769 ",Small Private
Concordia University-Texas,"$32,509 ",Small Private
Morningside College,"$36,449 ",Small Private
Geneva College,"$35,440 ",Small Private
Muskingum University,"$33,490 ",Small Private
Concordia University-Nebraska,"$27,722 ",Small Private
Cardinal Stritch University,"$31,526 ",Small Private
Marymount California University,"$31,562 ",Small Private
Cedar Crest College,"$44,032 ",Small Private
Bryan College-Dayton,"$25,666 ",Small Private
Barton College,"$26,477 ",Small Private
Tennessee Wesleyan University,"$18,540 ",Small Private
Goshen College,"$27,062 ",Small Private
Chatham University,"$35,303 ",Small Private
Milligan College,"$29,277 ",Small Private
Eastern Mennonite University,"$39,845 ",Small Private
Millsaps College,"$33,569 ",Small Private
Judson University,"$39,021 ",Small Private
Wheeling Jesuit University,"$32,428 ",Small Private
Wabash College,"$35,726 ",Small Private
Emmanuel College,"$24,840 ",Small Private
Bluefield College,"$33,772 ",Small Private
Converse College,"$29,814 ",Small Private
Lancaster Bible College,"$33,818 ",Small Private
Mount Mary University,"$27,308 ",Small Private
Harvey Mudd College,"$25,041 ",Small Private
Vanguard University of Southern California,"$31,614 ",Small Private
Edgewood College,"$35,300 ",Small Private
Whitman College,"$23,254 ",Small Private
Lenoir-Rhyne University,"$28,485 ",Small Private
Washington College,"$30,462 ",Small Private
Southwestern University,"$34,788 ",Small Private
Eureka College,"$34,180 ",Small Private
Chowan University,"$38,443 ",Small Private
Evangel University,"$30,443 ",Small Private
St Andrews University,"$26,209 ",Small Private
Westmont College,"$33,407 ",Small Private
Washington University in St Louis,"$22,592 ",Large Private
Saint Louis University,"$21,292 ",Large Private
Dallas Baptist University,"$24,805 ",Large Private
Lindenwood University,"$32,774 ",Large Private
Vanderbilt University,"$23,973 ",Large Private
Hawaii Pacific University,"$27,481 ",Large Private
Stanford University,"$20,205 ",Large Private
Georgetown University,"$23,387 ",Large Private
Santa Clara University,"$28,808 ",Large Private
Tufts University,"$27,367 ",Large Private
Yale University,"$13,050 ",Large Private
Dartmouth College,"$19,571 ",Large Private
University of Mary Hardin-Baylor,"$43,344 ",Large Private
Adelphi University,"$35,285 ",Large Private
Sacred Heart University,"$42,033 ",Large Private
Regent University,"$28,035 ",Large Private
University of Evansville,"$30,533 ",Large Private
Lewis & Clark College,"$27,591 ",Large Private
Dominican University,"$28,659 ",Large Private
Macalester College,"$24,381 ",Large Private
Nova Southeastern University,"$32,127 ",Large Private
Mount Holyoke College,"$23,872 ",Large Private
University of Detroit Mercy,"$36,968 ",Large Private
Rose-Hulman Institute of Technology,"$45,345 ",Large Private
Mount Saint Mary's University,"$35,161 ",Large Private
Vassar College,"$19,439 ",Large Private
Lipscomb University,"$29,673 ",Large Private
College of the Holy Cross,"$26,258 ",Large Private
Furman University,"$32,919 ",Large Private
Concordia University-Wisconsin,"$33,298 ",Large Private
Marist College,"$37,681 ",Large Private
Seattle Pacific University,"$28,646 ",Large Private
Elmhurst College,"$29,925 ",Large Private
Bentley University,"$31,889 ",Large Private
Harding University,"$31,007 ",Large Private
